@relation weka-cell-lbp

@attribute 0 numeric
@attribute ' 1' numeric
@attribute ' 2' numeric
@attribute ' 3' numeric
@attribute ' 4' numeric
@attribute ' 5' numeric
@attribute ' 6' numeric
@attribute ' 7' numeric
@attribute ' 8' numeric
@attribute ' 9' numeric
@attribute ' 10' numeric
@attribute ' 11' numeric
@attribute ' 12' numeric
@attribute ' 13' numeric
@attribute ' 14' numeric
@attribute ' 15' numeric
@attribute ' 16' numeric
@attribute ' 17' numeric
@attribute ' 18' numeric
@attribute ' 19' numeric
@attribute ' 20' numeric
@attribute ' 21' numeric
@attribute ' 22' numeric
@attribute ' 23' numeric
@attribute ' 24' numeric
@attribute ' 25' numeric
@attribute ' 26' numeric
@attribute ' 27' numeric
@attribute ' 28' numeric
@attribute ' 29' numeric
@attribute ' 30' numeric
@attribute ' 31' numeric
@attribute ' 32' numeric
@attribute ' 33' numeric
@attribute ' 34' numeric
@attribute ' 35' numeric
@attribute ' 36' numeric
@attribute ' 37' numeric
@attribute ' 38' numeric
@attribute ' 39' numeric
@attribute ' 40' numeric
@attribute ' 41' numeric
@attribute ' 42' numeric
@attribute ' 43' numeric
@attribute ' 44' numeric
@attribute ' 45' numeric
@attribute ' 46' numeric
@attribute ' 47' numeric
@attribute ' 48' numeric
@attribute ' 49' numeric
@attribute ' 50' numeric
@attribute ' 51' numeric
@attribute ' 52' numeric
@attribute ' 53' numeric
@attribute ' 54' numeric
@attribute ' 55' numeric
@attribute ' 56' numeric
@attribute ' 57' numeric
@attribute ' 58' numeric
@attribute ' 59' numeric
@attribute ' class' {0,1,2,3}

@data
15,3,3,3,0,2,0,4,2,1,1,2,1,1,1,3,2,1,2,2,1,2,3,0,0,1,2,2,2,0,1,2,4,2,0,1,2,5,0,2,2,1,4,8,2,4,0,2,2,3,1,2,2,2,0,3,0,6,43,135,3
65,1,6,3,1,1,5,0,2,5,5,2,2,5,4,7,3,2,2,5,3,1,5,2,1,1,0,3,1,2,6,2,2,1,1,1,5,8,4,1,2,5,5,6,1,0,0,3,2,2,1,0,1,0,1,3,1,4,27,171,1
60,7,2,3,0,1,10,11,4,1,9,6,6,5,3,4,1,5,2,5,4,1,0,2,3,2,6,3,7,8,2,6,4,4,1,3,1,3,4,2,0,1,3,3,4,1,2,8,5,1,7,3,0,1,1,1,4,15,74,175,2
12,2,0,0,2,1,2,0,3,3,9,2,4,0,3,1,2,1,0,1,1,0,3,4,5,2,2,0,3,6,1,2,0,0,0,0,1,0,2,1,2,0,0,0,0,2,3,13,3,1,1,4,2,0,0,1,1,6,33,152,1
13,2,2,3,3,0,0,1,1,2,4,4,0,1,4,3,1,2,2,2,1,0,2,3,0,1,1,2,1,0,3,1,0,2,1,0,1,7,4,4,2,1,0,1,1,2,0,5,3,0,1,2,3,0,4,2,1,5,39,178,1
21,6,8,1,5,3,3,0,1,4,2,2,2,4,1,3,3,2,1,6,3,3,3,3,2,4,2,0,2,2,2,3,2,1,3,0,4,3,7,2,1,0,4,6,2,1,0,4,7,0,2,1,1,1,3,4,1,5,38,168,2
10,4,1,0,1,1,0,4,2,2,2,2,2,0,7,2,0,1,2,3,2,1,0,1,2,1,1,0,2,2,1,3,0,1,1,2,1,2,0,1,0,0,2,0,0,1,1,0,2,0,1,1,1,1,0,2,1,6,43,144,2
6,0,0,1,1,0,0,1,0,2,2,1,0,1,2,0,1,1,2,3,2,0,1,0,0,0,1,0,0,1,0,0,1,2,0,1,0,2,1,3,0,1,1,1,3,0,1,1,2,0,0,1,0,2,1,0,1,4,30,141,3
10,3,0,4,2,3,5,1,0,3,3,1,0,0,6,1,0,0,1,2,1,0,2,2,1,3,3,0,1,3,0,1,2,4,1,2,1,1,2,0,1,1,1,1,0,1,0,2,2,1,0,2,0,2,0,2,0,5,24,133,2
70,3,7,4,6,1,0,0,6,3,0,3,2,8,8,1,3,4,2,6,2,0,6,4,1,1,1,0,1,0,3,1,0,0,0,1,4,8,4,1,1,0,3,6,2,2,2,4,4,1,1,1,1,1,1,4,2,4,37,160,1
14,3,1,3,0,2,2,1,0,5,1,3,2,2,2,1,2,0,5,0,0,2,1,2,1,5,1,2,0,3,2,2,2,1,2,0,1,1,4,3,1,1,2,1,2,4,0,0,2,1,3,1,0,3,3,4,1,9,47,159,2
21,6,2,2,5,2,4,4,2,2,1,3,1,3,1,1,2,0,0,1,2,3,4,1,1,2,2,2,4,4,2,6,4,1,3,1,3,3,2,3,1,1,7,2,3,3,2,2,4,2,2,2,1,2,0,1,3,4,46,172,1
13,3,4,4,2,3,0,3,1,5,2,5,3,0,5,3,3,2,4,1,3,0,6,3,1,3,2,3,2,1,5,4,7,1,3,2,1,3,2,5,1,4,2,4,3,2,0,2,2,4,0,1,1,1,2,2,0,9,58,150,1
24,2,3,4,1,1,1,4,2,7,2,10,2,4,2,4,4,4,7,3,3,1,5,6,5,3,3,2,3,2,5,3,0,0,1,0,2,2,6,1,2,3,2,3,1,1,1,5,4,3,1,3,2,1,3,0,3,14,60,188,1
15,0,8,1,2,0,0,0,2,3,0,2,7,3,9,1,6,0,2,2,4,2,2,1,4,2,1,0,0,1,3,0,1,0,2,2,0,3,1,2,0,0,2,9,2,0,3,0,1,0,0,2,1,0,2,2,2,9,53,188,1
3,2,1,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,2,0,0,4,1,0,0,1,2,3,2,4,2,0,2,1,3,3,2,0,2,0,2,2,1,1,2,0,2,1,0,0,0,0,0,2,17,127,2
21,2,2,2,5,5,2,3,3,5,8,5,4,0,4,5,4,4,3,2,2,1,3,1,4,1,3,2,3,3,1,4,0,1,1,2,0,3,1,0,3,1,1,1,1,3,2,4,1,0,1,5,1,1,3,0,3,7,53,167,1
6,1,0,0,1,1,0,2,0,3,1,3,0,1,2,3,2,1,2,2,1,1,1,2,1,2,0,0,0,3,0,1,6,1,2,0,1,0,0,0,0,1,2,1,0,0,1,4,0,0,1,1,0,1,0,1,0,5,29,130,2
14,2,4,1,3,1,2,3,0,6,1,3,4,6,4,7,3,0,1,5,4,1,2,2,3,3,1,2,0,1,0,8,0,1,3,1,3,5,2,3,2,1,3,3,5,0,3,4,6,2,1,2,0,0,2,2,1,8,44,158,1
41,2,4,3,6,2,4,6,2,3,4,7,2,2,2,2,4,4,5,2,1,1,1,1,5,4,1,4,3,5,5,4,0,0,2,0,1,10,2,2,2,3,4,5,7,3,1,2,2,2,3,0,1,1,2,0,1,7,51,177,1
5,1,2,1,1,0,0,0,1,1,1,4,1,0,5,1,3,1,3,3,3,1,1,0,1,2,2,0,0,0,0,2,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,2,1,1,0,1,0,1,0,2,2,4,28,145,2
13,3,1,1,1,1,1,0,5,1,0,3,2,0,1,0,2,2,10,2,1,0,1,1,1,1,3,1,1,1,1,12,2,1,0,1,2,3,3,4,0,3,2,0,2,2,1,0,1,1,0,0,1,2,0,2,1,8,41,162,1
69,3,5,2,3,3,0,4,0,3,2,4,5,9,16,1,4,2,3,6,3,1,7,3,0,0,1,1,1,0,5,3,3,1,3,2,2,8,6,3,2,5,10,19,4,3,0,1,2,2,2,2,1,0,0,5,1,5,45,161,2
4,2,3,0,1,1,1,0,1,3,4,3,1,2,3,3,3,1,2,3,2,0,0,1,1,1,2,0,0,2,0,0,1,2,0,0,1,3,2,2,1,0,1,0,4,1,0,0,0,1,0,2,0,2,1,2,1,3,20,147,3
32,7,3,1,3,4,3,5,5,1,3,5,1,2,9,2,0,4,1,1,2,1,2,1,4,4,0,2,0,6,1,8,0,2,0,1,2,1,5,0,1,5,3,3,0,1,4,3,0,5,0,2,1,2,1,2,0,9,62,170,1
46,8,3,3,3,2,4,3,1,3,6,4,8,6,8,3,3,5,3,9,4,3,5,1,0,3,5,1,1,3,0,8,6,1,2,1,6,4,6,3,3,1,9,4,6,1,1,4,9,1,2,1,2,0,4,3,1,7,51,166,2
26,2,1,2,4,6,0,5,1,2,3,5,2,2,7,5,4,1,6,3,2,2,3,1,2,2,2,2,2,4,3,5,1,3,1,0,2,2,5,3,1,5,6,6,5,1,2,2,5,0,4,2,0,0,3,7,0,6,49,164,1
7,2,0,2,2,2,0,1,2,2,4,0,0,1,0,1,0,1,0,3,1,1,1,0,1,2,2,0,1,2,0,2,1,2,0,2,1,0,1,2,0,0,1,3,1,0,2,2,1,0,3,2,0,0,0,0,1,5,27,143,2
23,7,5,2,3,4,1,4,1,3,2,2,2,2,6,1,1,5,3,1,4,0,3,5,2,4,5,1,1,0,2,8,2,3,1,1,2,4,12,3,2,2,4,0,1,2,1,1,1,3,2,2,2,2,2,3,1,9,53,161,1
9,0,1,1,0,1,0,0,0,1,0,1,2,1,0,1,0,2,1,4,0,0,0,0,0,2,4,0,1,1,2,1,3,0,1,0,1,0,1,3,1,0,0,0,0,0,1,6,2,1,2,1,1,1,0,1,0,5,32,139,2
27,5,3,1,1,2,4,3,4,1,1,3,2,4,4,0,1,2,8,4,4,3,7,4,1,6,4,0,2,5,3,1,4,1,1,1,2,7,6,1,1,2,3,5,2,1,1,1,1,2,2,3,2,3,0,1,1,4,38,128,3
62,5,6,3,8,2,7,3,5,6,1,8,5,7,4,5,4,9,7,5,1,3,6,6,4,9,1,2,4,4,6,7,4,5,3,1,5,5,5,1,1,0,6,3,2,3,0,8,0,4,3,1,2,2,4,4,2,11,57,177,1
